"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Virginia Beach City Public Schools","Economically Disadvantaged","Bayside High",88,90.8
"Virginia Beach City Public Schools","English Learners","Bayside High",86.7,93.3
"Virginia Beach City Public Schools","Female","Bayside High",93.3,96.1
"Virginia Beach City Public Schools","Hispanic","Bayside High",90.9,93.9
"Virginia Beach City Public Schools","Homeless","Bayside High",70,70
"Virginia Beach City Public Schools","Male","Bayside High",83.9,87.6
"Virginia Beach City Public Schools","Military Connected","Bayside High",100,100
"Virginia Beach City Public Schools","Multiple Races","Bayside High",95.1,97.6
"Virginia Beach City Public Schools","Students with Disabilities","Bayside High",90.9,90.9
"Virginia Beach City Public Schools","White","Bayside High",89.7,93.7
"Virginia Beach City Public Schools","All Students","First Colonial High",93.6,95.2
"Virginia Beach City Public Schools","Asian","First Colonial High",100,100
"Virginia Beach City Public Schools","Black","First Colonial High",87.3,89.9
"Virginia Beach City Public Schools","Economically Disadvantaged","First Colonial High",95.1,95.8
"Virginia Beach City Public Schools","Female","First Colonial High",96,97.3
"Virginia Beach City Public Schools","Hispanic","First Colonial High",85.7,87.8
"Virginia Beach City Public Schools","Homeless","First Colonial High",81.8,81.8
"Virginia Beach City Public Schools","Male","First Colonial High",91,92.9
"Virginia Beach City Public Schools","Military Connected","First Colonial High",100,100
"Virginia Beach City Public Schools","Multiple Races","First Colonial High",84,88
"Virginia Beach City Public Schools","Students with Disabilities","First Colonial High",93.9,93.9
"Virginia Beach City Public Schools","White","First Colonial High",97.4,98.5
"Virginia Beach City Public Schools","All Students","Floyd Kellam High",98,98.8
"Virginia Beach City Public Schools","Asian","Floyd Kellam High",100,100
"Virginia Beach City Public Schools","Black","Floyd Kellam High",100,100
"Virginia Beach City Public Schools","Economically Disadvantaged","Floyd Kellam High",93.7,95.2
"Virginia Beach City Public Schools","Female","Floyd Kellam High",98.8,98.8
"Virginia Beach City Public Schools","Hispanic","Floyd Kellam High",100,100
"Virginia Beach City Public Schools","Male","Floyd Kellam High",97.2,98.8
"Virginia Beach City Public Schools","Military Connected","Floyd Kellam High",97.1,97.1
"Virginia Beach City Public Schools","Multiple Races","Floyd Kellam High",96.4,96.4
"Virginia Beach City Public Schools","Students with Disabilities","Floyd Kellam High",91.9,97.3
"Virginia Beach City Public Schools","White","Floyd Kellam High",97.7,98.7
"Virginia Beach City Public Schools","All Students","Frank W. Cox High",91.9,95
"Virginia Beach City Public Schools","Asian","Frank W. Cox High",92.9,92.9
"Virginia Beach City Public Schools","Black","Frank W. Cox High",87.5,89.3
"Virginia Beach City Public Schools","Economically Disadvantaged","Frank W. Cox High",89.3,92.6
"Virginia Beach City Public Schools","English Learners","Frank W. Cox High",81.8,81.8
"Virginia Beach City Public Schools","Female","Frank W. Cox High",94.1,96.6
"Virginia Beach City Public Schools","Hispanic","Frank W. Cox High",90.2,90.2
"Virginia Beach City Public Schools","Male","Frank W. Cox High",90.2,93.8
"Virginia Beach City Public Schools","Military Connected","Frank W. Cox High",97.3,98.6
"Virginia Beach City Public Schools","Multiple Races","Frank W. Cox High",91.3,100
"Virginia Beach City Public Schools","Students with Disabilities","Frank W. Cox High",86.4,90.9
"Virginia Beach City Public Schools","White","Frank W. Cox High",92.9,96.3
"Virginia Beach City Public Schools","All Students","Green Run Collegiate",100,100
"Virginia Beach City Public Schools","Black","Green Run Collegiate",100,100
"Virginia Beach City Public Schools","Economically Disadvantaged","Green Run Collegiate",100,100
"Virginia Beach City Public Schools","Female","Green Run Collegiate",100,100
"Virginia Beach City Public Schools","Male","Green Run Collegiate",100,100
"Virginia Beach City Public Schools","Military Connected","Green Run Collegiate",100,100
"Virginia Beach City Public Schools","White","Green Run Collegiate",100,100
"Virginia Beach City Public Schools","All Students","Green Run High",91,92.1
"Virginia Beach City Public Schools","Asian","Green Run High",100,100
"Virginia Beach City Public Schools","Black","Green Run High",91.1,91.1
"Virginia Beach City Public Schools","Economically Disadvantaged","Green Run High",92.9,93.9
"Virginia Beach City Public Schools","English Learners","Green Run High",92.9,92.9
"Virginia Beach City Public Schools","Female","Green Run High",93.9,93.9
"Virginia Beach City Public Schools","Hispanic","Green Run High",84.8,87.9
"Virginia Beach City Public Schools","Male","Green Run High",88.7,90.6
"Virginia Beach City Public Schools","Military Connected","Green Run High",97.8,100
"Virginia Beach City Public Schools","Multiple Races","Green Run High",89.2,91.9
"Virginia Beach City Public Schools","Students with Disabilities","Green Run High",88.5,88.5
"Virginia Beach City Public Schools","White","Green Run High",90.6,92.5
"Virginia Beach City Public Schools","All Students","Kempsville High",94,96
"Virginia Beach City Public Schools","Asian","Kempsville High",80,80
"Virginia Beach City Public Schools","Black","Kempsville High",93.5,94.6
"Virginia Beach City Public Schools","Economically Disadvantaged","Kempsville High",93.4,94.2
"Virginia Beach City Public Schools","Female","Kempsville High",95.7,97.6
"Virginia Beach City Public Schools","Hispanic","Kempsville High",88,90
"Virginia Beach City Public Schools","Homeless","Kempsville High",87.5,87.5
"Virginia Beach City Public Schools","Male","Kempsville High",92,94.1
"Virginia Beach City Public Schools","Military Connected","Kempsville High",100,100
"Virginia Beach City Public Schools","Multiple Races","Kempsville High",95.1,95.1
"Virginia Beach City Public Schools","Students with Disabilities","Kempsville High",96.8,96.8
"Virginia Beach City Public Schools","White","Kempsville High",96,99
"Virginia Beach City Public Schools","All Students","Landstown High",95.2,95.9
"Virginia Beach City Public Schools","Asian","Landstown High",100,100
"Virginia Beach City Public Schools","Black","Landstown High",94.3,94.9
"Virginia Beach City Public Schools","Economically Disadvantaged","Landstown High",94.1,94.1
"Virginia Beach City Public Schools","Female","Landstown High",96.1,97
"Virginia Beach City Public Schools","Hispanic","Landstown High",95.5,95.5
"Virginia Beach City Public Schools","Homeless","Landstown High",70,70
"Virginia Beach City Public Schools","Male","Landstown High",94.5,95.1
"Virginia Beach City Public Schools","Military Connected","Landstown High",100,100
"Virginia Beach City Public Schools","Multiple Races","Landstown High",93.6,95.7
"Virginia Beach City Public Schools","Students with Disabilities","Landstown High",90.6,90.6
"Virginia Beach City Public Schools","White","Landstown High",94.3,95.2
"Virginia Beach City Public Schools","All Students","Ocean Lakes High",96.4,97.7
"Virginia Beach City Public Schools","Asian","Ocean Lakes High",100,100
"Virginia Beach City Public Schools","Black","Ocean Lakes High",94.8,94.8
"Virginia Beach City Public Schools","Economically Disadvantaged","Ocean Lakes High",93.9,95.2
"Virginia Beach City Public Schools","Female","Ocean Lakes High",96.7,97.5
"Virginia Beach City Public Schools","Hispanic","Ocean Lakes High",95.7,97.8
"Virginia Beach City Public Schools","Male","Ocean Lakes High",96.1,97.9
"Virginia Beach City Public Schools","Military Connected","Ocean Lakes High",98.7,98.7
"Virginia Beach City Public Schools","Multiple Races","Ocean Lakes High",94.7,97.4
"Virginia Beach City Public Schools","Students with Disabilities","Ocean Lakes High",96.3,98.1
"Virginia Beach City Public Schools","White","Ocean Lakes High",96.4,98
"Virginia Beach City Public Schools","All Students","Princess Anne High",94.7,96.3
"Virginia Beach City Public Schools","Asian","Princess Anne High",95.2,95.2
"Virginia Beach City Public Schools","Black","Princess Anne High",94.7,94.7
"Virginia Beach City Public Schools","Economically Disadvantaged","Princess Anne High",94,95.5
"Virginia Beach City Public Schools","Female","Princess Anne High",95.1,96.4
"Virginia Beach City Public Schools","Hispanic","Princess Anne High",94.1,97.1
"Virginia Beach City Public Schools","Male","Princess Anne High",94.3,96.2
"Virginia Beach City Public Schools","Military Connected","Princess Anne High",98.1,98.1
"Virginia Beach City Public Schools","Multiple Races","Princess Anne High",88.9,88.9
"Virginia Beach City Public Schools","Students with Disabilities","Princess Anne High",89.4,93.6
"Virginia Beach City Public Schools","White","Princess Anne High",95.4,97.7
"Virginia Beach City Public Schools","All Students","Salem High",95.3,96.5
"Virginia Beach City Public Schools","Asian","Salem High",97.7,97.7
"Virginia Beach City Public Schools","Black","Salem High",92.3,94.4
"Virginia Beach City Public Schools","Economically Disadvantaged","Salem High",95.1,95.8
"Virginia Beach City Public Schools","Female","Salem High",98.6,99.5
"Virginia Beach City Public Schools","Hispanic","Salem High",97,97
"Virginia Beach City Public Schools","Male","Salem High",91.7,93.2
"Virginia Beach City Public Schools","Military Connected","Salem High",98.3,100
"Virginia Beach City Public Schools","Multiple Races","Salem High",97.7,97.7
"Virginia Beach City Public Schools","Students with Disabilities","Salem High",93.9,93.9
"Virginia Beach City Public Schools","White","Salem High",96.2,97.5
"Virginia Beach City Public Schools","All Students","Tallwood High",95.2,96.2
"Virginia Beach City Public Schools","Asian","Tallwood High",100,100
"Virginia Beach City Public Schools","Black","Tallwood High",93.5,94.1
"Virginia Beach City Public Schools","Economically Disadvantaged","Tallwood High",96.7,97.6
"Virginia Beach City Public Schools","English Learners","Tallwood High",100,100
"Virginia Beach City Public Schools","Female","Tallwood High",96.9,97.8
"Virginia Beach City Public Schools","Hispanic","Tallwood High",93.6,97.9
"Virginia Beach City Public Schools","Male","Tallwood High",93.6,94.7
"Virginia Beach City Public Schools","Military Connected","Tallwood High",98.4,98.4
"Virginia Beach City Public Schools","Multiple Races","Tallwood High",96.6,96.6
"Virginia Beach City Public Schools","Students with Disabilities","Tallwood High",91.7,91.7
"Virginia Beach City Public Schools","White","Tallwood High",95.4,96.6
"Warren County Public Schools","All Students","Skyline High",97.7,98.2
"Warren County Public Schools","Black","Skyline High",100,100
"Warren County Public Schools","Economically Disadvantaged","Skyline High",96.3,97.6
"Warren County Public Schools","English Learners","Skyline High",90,90
"Warren County Public Schools","Female","Skyline High",98.3,98.3
"Warren County Public Schools","Hispanic","Skyline High",90,90
"Warren County Public Schools","Male","Skyline High",97.2,98.1
"Warren County Public Schools","Multiple Races","Skyline High",100,100
"Warren County Public Schools","Students with Disabilities","Skyline High",100,100
"Warren County Public Schools","White","Skyline High",98.2,98.8
"Warren County Public Schools","All Students","Warren County High",97.1,97.5
"Warren County Public Schools","Economically Disadvantaged","Warren County High",95.2,96.4
"Warren County Public Schools","Female","Warren County High",96.1,97.1
"Warren County Public Schools","Hispanic","Warren County High",91.7,91.7
"Warren County Public Schools","Male","Warren County High",98,98
"Warren County Public Schools","Multiple Races","Warren County High",100,100
"Warren County Public Schools","Students with Disabilities","Warren County High",100,100
"Warren County Public Schools","White","Warren County High",97.6,98.2
"Washington County Public Schools","All Students","Abingdon High",94.8,97.4
"Washington County Public Schools","Economically Disadvantaged","Abingdon High",90.1,94.1
"Washington County Public Schools","Female","Abingdon High",96.4,97.3
